,time_hm,day_pct,vol_pct,days,vol_pct_sum
0,830,0.0256,0.0507,120,0.0507
1,840,0.0513,0.0356,120,0.0863
2,850,0.0769,0.0311,120,0.1174
3,900,0.1026,0.0334,120,0.1508
4,910,0.1282,0.0286,120,0.1794
5,920,0.1538,0.0279,120,0.2073
6,930,0.1795,0.0266,120,0.2339
7,940,0.2051,0.0237,120,0.2576
8,950,0.2308,0.0225,120,0.2801
9,1000,0.2564,0.0234,120,0.3035
10,1010,0.2821,0.0214,120,0.3249
11,1020,0.3077,0.0203,120,0.3452
12,1030,0.3333,0.0211,120,0.3663
13,1040,0.359,0.0195,120,0.3858
14,1050,0.3846,0.0176,120,0.4034
15,1100,0.4103,0.0178,120,0.4212
16,1110,0.4359,0.0167,120,0.4379
17,1120,0.4615,0.0164,120,0.4543
18,1130,0.4872,0.0166,120,0.4709
19,1140,0.5128,0.016,120,0.4869
20,1150,0.5385,0.015,120,0.5019
21,1200,0.5641,0.017,120,0.5189
22,1210,0.5897,0.0164,120,0.5353
23,1220,0.6154,0.0164,120,0.5517
24,1230,0.641,0.0166,120,0.5683
25,1240,0.6667,0.0162,120,0.5845
26,1250,0.6923,0.0163,120,0.6008
27,1300,0.7179,0.023,120,0.6238
28,1310,0.7436,0.0187,120,0.6425
29,1320,0.7692,0.0189,120,0.6614
30,1330,0.7949,0.0214,120,0.6828
31,1340,0.8205,0.0215,120,0.7043
32,1350,0.8462,0.0216,120,0.7259
33,1400,0.8718,0.026,120,0.7519
34,1410,0.8974,0.0256,120,0.7775
35,1420,0.9231,0.0272,120,0.8047
36,1430,0.9487,0.035,120,0.8397
37,1440,0.9744,0.0459,120,0.8856
38,1450,1.0,0.1144,120,1.0
