,time_hm,day_pct,vol_pct,days,vol_pct_sum
0,830,0.0128,0.0292,120,0.0292
1,835,0.0256,0.022,120,0.0512
2,840,0.0385,0.0186,120,0.0698
3,845,0.0513,0.0181,120,0.0879
4,850,0.0641,0.017,120,0.1049
5,855,0.0769,0.0147,120,0.1196
6,900,0.0897,0.018,120,0.1376
7,905,0.1026,0.0151,120,0.1527
8,910,0.1154,0.0149,120,0.1676
9,915,0.1282,0.0141,120,0.1817
10,920,0.141,0.0147,120,0.1964
11,925,0.1538,0.0136,120,0.21
12,930,0.1667,0.0142,120,0.2242
13,935,0.1795,0.0126,120,0.2368
14,940,0.1923,0.012,120,0.2488
15,945,0.2051,0.0119,120,0.2607
16,950,0.2179,0.0115,120,0.2722
17,955,0.2308,0.0107,120,0.2829
18,1000,0.2436,0.0126,120,0.2955
19,1005,0.2564,0.0109,120,0.3064
20,1010,0.2692,0.0103,120,0.3167
21,1015,0.2821,0.0107,120,0.3274
22,1020,0.2949,0.0101,120,0.3375
23,1025,0.3077,0.0104,120,0.3479
24,1030,0.3205,0.0114,120,0.3593
25,1035,0.3333,0.0102,120,0.3695
26,1040,0.3462,0.0102,120,0.3797
27,1045,0.359,0.0095,120,0.3892
28,1050,0.3718,0.0093,120,0.3985
29,1055,0.3846,0.0091,120,0.4076
30,1100,0.3974,0.009,119,0.4166
31,1105,0.4103,0.0085,119,0.4251
32,1110,0.4231,0.0086,119,0.4337
33,1115,0.4359,0.0084,119,0.4421
34,1120,0.4487,0.0082,119,0.4503
35,1125,0.4615,0.008,119,0.4583
36,1130,0.4744,0.0093,119,0.4676
37,1135,0.4872,0.0082,119,0.4758
38,1140,0.5,0.0078,119,0.4836
39,1145,0.5128,0.0079,119,0.4915
40,1150,0.5256,0.0075,119,0.499
41,1155,0.5385,0.0076,119,0.5066
42,1200,0.5513,0.0086,119,0.5152
43,1205,0.5641,0.0083,119,0.5235
44,1210,0.5769,0.008,119,0.5315
45,1215,0.5897,0.0082,119,0.5397
46,1220,0.6026,0.0081,119,0.5478
47,1225,0.6154,0.0085,119,0.5563
48,1230,0.6282,0.0085,119,0.5648
49,1235,0.641,0.008,119,0.5728
50,1240,0.6538,0.0084,119,0.5812
51,1245,0.6667,0.0079,119,0.5891
52,1250,0.6795,0.0077,119,0.5968
53,1255,0.6923,0.0085,119,0.6053
54,1300,0.7051,0.0121,119,0.6174
55,1305,0.7179,0.0109,119,0.6283
56,1310,0.7308,0.0094,119,0.6377
57,1315,0.7436,0.0095,119,0.6472
58,1320,0.7564,0.0092,119,0.6564
59,1325,0.7692,0.0103,119,0.6667
60,1330,0.7821,0.0108,119,0.6775
61,1335,0.7949,0.0104,119,0.6879
62,1340,0.8077,0.0107,119,0.6986
63,1345,0.8205,0.0109,119,0.7095
64,1350,0.8333,0.0111,119,0.7206
65,1355,0.8462,0.0113,119,0.7319
66,1400,0.859,0.0132,119,0.7451
67,1405,0.8718,0.0127,119,0.7578
68,1410,0.8846,0.0127,119,0.7705
69,1415,0.8974,0.0124,119,0.7829
70,1420,0.9103,0.0134,119,0.7963
71,1425,0.9231,0.0138,119,0.8101
72,1430,0.9359,0.0172,119,0.8273
73,1435,0.9487,0.0184,119,0.8457
74,1440,0.9615,0.0201,119,0.8658
75,1445,0.9744,0.0264,119,0.8922
76,1450,0.9872,0.0413,119,0.9335
77,1455,1.0,0.071,119,1.0
