,time_hm,hour,minute,day_pct
0,830,8,30,0.0051
1,832,8,32,0.0103
2,834,8,34,0.0154
3,836,8,36,0.0205
4,838,8,38,0.0256
5,840,8,40,0.0308
6,842,8,42,0.0359
7,844,8,44,0.041
8,846,8,46,0.0462
9,848,8,48,0.0513
10,850,8,50,0.0564
11,852,8,52,0.0615
12,854,8,54,0.0667
13,856,8,56,0.0718
14,858,8,58,0.0769
15,900,9,0,0.0821
16,902,9,2,0.0872
17,904,9,4,0.0923
18,906,9,6,0.0974
19,908,9,8,0.1026
20,910,9,10,0.1077
21,912,9,12,0.1128
22,914,9,14,0.1179
23,916,9,16,0.1231
24,918,9,18,0.1282
25,920,9,20,0.1333
26,922,9,22,0.1385
27,924,9,24,0.1436
28,926,9,26,0.1487
29,928,9,28,0.1538
30,930,9,30,0.159
31,932,9,32,0.1641
32,934,9,34,0.1692
33,936,9,36,0.1744
34,938,9,38,0.1795
35,940,9,40,0.1846
36,942,9,42,0.1897
37,944,9,44,0.1949
38,946,9,46,0.2
39,948,9,48,0.2051
40,950,9,50,0.2103
41,952,9,52,0.2154
42,954,9,54,0.2205
43,956,9,56,0.2256
44,958,9,58,0.2308
45,1000,10,0,0.2359
46,1002,10,2,0.241
47,1004,10,4,0.2462
48,1006,10,6,0.2513
49,1008,10,8,0.2564
50,1010,10,10,0.2615
51,1012,10,12,0.2667
52,1014,10,14,0.2718
53,1016,10,16,0.2769
54,1018,10,18,0.2821
55,1020,10,20,0.2872
56,1022,10,22,0.2923
57,1024,10,24,0.2974
58,1026,10,26,0.3026
59,1028,10,28,0.3077
60,1030,10,30,0.3128
61,1032,10,32,0.3179
62,1034,10,34,0.3231
63,1036,10,36,0.3282
64,1038,10,38,0.3333
65,1040,10,40,0.3385
66,1042,10,42,0.3436
67,1044,10,44,0.3487
68,1046,10,46,0.3538
69,1048,10,48,0.359
70,1050,10,50,0.3641
71,1052,10,52,0.3692
72,1054,10,54,0.3744
73,1056,10,56,0.3795
74,1058,10,58,0.3846
75,1100,11,0,0.3897
76,1102,11,2,0.3949
77,1104,11,4,0.4
78,1106,11,6,0.4051
79,1108,11,8,0.4103
80,1110,11,10,0.4154
81,1112,11,12,0.4205
82,1114,11,14,0.4256
83,1116,11,16,0.4308
84,1118,11,18,0.4359
85,1120,11,20,0.441
86,1122,11,22,0.4462
87,1124,11,24,0.4513
88,1126,11,26,0.4564
89,1128,11,28,0.4615
90,1130,11,30,0.4667
91,1132,11,32,0.4718
92,1134,11,34,0.4769
93,1136,11,36,0.4821
94,1138,11,38,0.4872
95,1140,11,40,0.4923
96,1142,11,42,0.4974
97,1144,11,44,0.5026
98,1146,11,46,0.5077
99,1148,11,48,0.5128
100,1150,11,50,0.5179
101,1152,11,52,0.5231
102,1154,11,54,0.5282
103,1156,11,56,0.5333
104,1158,11,58,0.5385
105,1200,12,0,0.5436
106,1202,12,2,0.5487
107,1204,12,4,0.5538
108,1206,12,6,0.559
109,1208,12,8,0.5641
110,1210,12,10,0.5692
111,1212,12,12,0.5744
112,1214,12,14,0.5795
113,1216,12,16,0.5846
114,1218,12,18,0.5897
115,1220,12,20,0.5949
116,1222,12,22,0.6
117,1224,12,24,0.6051
118,1226,12,26,0.6103
119,1228,12,28,0.6154
120,1230,12,30,0.6205
121,1232,12,32,0.6256
122,1234,12,34,0.6308
123,1236,12,36,0.6359
124,1238,12,38,0.641
125,1240,12,40,0.6462
126,1242,12,42,0.6513
127,1244,12,44,0.6564
128,1246,12,46,0.6615
129,1248,12,48,0.6667
130,1250,12,50,0.6718
131,1252,12,52,0.6769
132,1254,12,54,0.6821
133,1256,12,56,0.6872
134,1258,12,58,0.6923
135,1300,13,0,0.6974
136,1302,13,2,0.7026
137,1304,13,4,0.7077
138,1306,13,6,0.7128
139,1308,13,8,0.7179
140,1310,13,10,0.7231
141,1312,13,12,0.7282
142,1314,13,14,0.7333
143,1316,13,16,0.7385
144,1318,13,18,0.7436
145,1320,13,20,0.7487
146,1322,13,22,0.7538
147,1324,13,24,0.759
148,1326,13,26,0.7641
149,1328,13,28,0.7692
150,1330,13,30,0.7744
151,1332,13,32,0.7795
152,1334,13,34,0.7846
153,1336,13,36,0.7897
154,1338,13,38,0.7949
155,1340,13,40,0.8
156,1342,13,42,0.8051
157,1344,13,44,0.8103
158,1346,13,46,0.8154
159,1348,13,48,0.8205
160,1350,13,50,0.8256
161,1352,13,52,0.8308
162,1354,13,54,0.8359
163,1356,13,56,0.841
164,1358,13,58,0.8462
165,1400,14,0,0.8513
166,1402,14,2,0.8564
167,1404,14,4,0.8615
168,1406,14,6,0.8667
169,1408,14,8,0.8718
170,1410,14,10,0.8769
171,1412,14,12,0.8821
172,1414,14,14,0.8872
173,1416,14,16,0.8923
174,1418,14,18,0.8974
175,1420,14,20,0.9026
176,1422,14,22,0.9077
177,1424,14,24,0.9128
178,1426,14,26,0.9179
179,1428,14,28,0.9231
180,1430,14,30,0.9282
181,1432,14,32,0.9333
182,1434,14,34,0.9385
183,1436,14,36,0.9436
184,1438,14,38,0.9487
185,1440,14,40,0.9538
186,1442,14,42,0.959
187,1444,14,44,0.9641
188,1446,14,46,0.9692
189,1448,14,48,0.9744
190,1450,14,50,0.9795
191,1452,14,52,0.9846
192,1454,14,54,0.9897
193,1456,14,56,0.9949
194,1458,14,58,1.0
195,1500,15,0,1.0
