,time_hm,hour,minute,day_pct
0,830,8,30,0.0385
1,845,8,45,0.0769
2,900,9,0,0.1154
3,915,9,15,0.1538
4,930,9,30,0.1923
5,945,9,45,0.2308
6,1000,10,0,0.2692
7,1015,10,15,0.3077
8,1030,10,30,0.3462
9,1045,10,45,0.3846
10,1100,11,0,0.4231
11,1115,11,15,0.4615
12,1130,11,30,0.5
13,1145,11,45,0.5385
14,1200,12,0,0.5769
15,1215,12,15,0.6154
16,1230,12,30,0.6538
17,1245,12,45,0.6923
18,1300,13,0,0.7308
19,1315,13,15,0.7692
20,1330,13,30,0.8077
21,1345,13,45,0.8462
22,1400,14,0,0.8846
23,1415,14,15,0.9231
24,1430,14,30,0.9615
25,1445,14,45,1.0
26,1500,15,0,1.0
