,time_hm,hour,minute,day_pct
0,830,8,30,0.0026
1,831,8,31,0.0051
2,832,8,32,0.0077
3,833,8,33,0.0103
4,834,8,34,0.0128
5,835,8,35,0.0154
6,836,8,36,0.0179
7,837,8,37,0.0205
8,838,8,38,0.0231
9,839,8,39,0.0256
10,840,8,40,0.0282
11,841,8,41,0.0308
12,842,8,42,0.0333
13,843,8,43,0.0359
14,844,8,44,0.0385
15,845,8,45,0.041
16,846,8,46,0.0436
17,847,8,47,0.0462
18,848,8,48,0.0487
19,849,8,49,0.0513
20,850,8,50,0.0538
21,851,8,51,0.0564
22,852,8,52,0.059
23,853,8,53,0.0615
24,854,8,54,0.0641
25,855,8,55,0.0667
26,856,8,56,0.0692
27,857,8,57,0.0718
28,858,8,58,0.0744
29,859,8,59,0.0769
30,900,9,0,0.0795
31,901,9,1,0.0821
32,902,9,2,0.0846
33,903,9,3,0.0872
34,904,9,4,0.0897
35,905,9,5,0.0923
36,906,9,6,0.0949
37,907,9,7,0.0974
38,908,9,8,0.1
39,909,9,9,0.1026
40,910,9,10,0.1051
41,911,9,11,0.1077
42,912,9,12,0.1103
43,913,9,13,0.1128
44,914,9,14,0.1154
45,915,9,15,0.1179
46,916,9,16,0.1205
47,917,9,17,0.1231
48,918,9,18,0.1256
49,919,9,19,0.1282
50,920,9,20,0.1308
51,921,9,21,0.1333
52,922,9,22,0.1359
53,923,9,23,0.1385
54,924,9,24,0.141
55,925,9,25,0.1436
56,926,9,26,0.1462
57,927,9,27,0.1487
58,928,9,28,0.1513
59,929,9,29,0.1538
60,930,9,30,0.1564
61,931,9,31,0.159
62,932,9,32,0.1615
63,933,9,33,0.1641
64,934,9,34,0.1667
65,935,9,35,0.1692
66,936,9,36,0.1718
67,937,9,37,0.1744
68,938,9,38,0.1769
69,939,9,39,0.1795
70,940,9,40,0.1821
71,941,9,41,0.1846
72,942,9,42,0.1872
73,943,9,43,0.1897
74,944,9,44,0.1923
75,945,9,45,0.1949
76,946,9,46,0.1974
77,947,9,47,0.2
78,948,9,48,0.2026
79,949,9,49,0.2051
80,950,9,50,0.2077
81,951,9,51,0.2103
82,952,9,52,0.2128
83,953,9,53,0.2154
84,954,9,54,0.2179
85,955,9,55,0.2205
86,956,9,56,0.2231
87,957,9,57,0.2256
88,958,9,58,0.2282
89,959,9,59,0.2308
90,1000,10,0,0.2333
91,1001,10,1,0.2359
92,1002,10,2,0.2385
93,1003,10,3,0.241
94,1004,10,4,0.2436
95,1005,10,5,0.2462
96,1006,10,6,0.2487
97,1007,10,7,0.2513
98,1008,10,8,0.2538
99,1009,10,9,0.2564
100,1010,10,10,0.259
101,1011,10,11,0.2615
102,1012,10,12,0.2641
103,1013,10,13,0.2667
104,1014,10,14,0.2692
105,1015,10,15,0.2718
106,1016,10,16,0.2744
107,1017,10,17,0.2769
108,1018,10,18,0.2795
109,1019,10,19,0.2821
110,1020,10,20,0.2846
111,1021,10,21,0.2872
112,1022,10,22,0.2897
113,1023,10,23,0.2923
114,1024,10,24,0.2949
115,1025,10,25,0.2974
116,1026,10,26,0.3
117,1027,10,27,0.3026
118,1028,10,28,0.3051
119,1029,10,29,0.3077
120,1030,10,30,0.3103
121,1031,10,31,0.3128
122,1032,10,32,0.3154
123,1033,10,33,0.3179
124,1034,10,34,0.3205
125,1035,10,35,0.3231
126,1036,10,36,0.3256
127,1037,10,37,0.3282
128,1038,10,38,0.3308
129,1039,10,39,0.3333
130,1040,10,40,0.3359
131,1041,10,41,0.3385
132,1042,10,42,0.341
133,1043,10,43,0.3436
134,1044,10,44,0.3462
135,1045,10,45,0.3487
136,1046,10,46,0.3513
137,1047,10,47,0.3538
138,1048,10,48,0.3564
139,1049,10,49,0.359
140,1050,10,50,0.3615
141,1051,10,51,0.3641
142,1052,10,52,0.3667
143,1053,10,53,0.3692
144,1054,10,54,0.3718
145,1055,10,55,0.3744
146,1056,10,56,0.3769
147,1057,10,57,0.3795
148,1058,10,58,0.3821
149,1059,10,59,0.3846
150,1100,11,0,0.3872
151,1101,11,1,0.3897
152,1102,11,2,0.3923
153,1103,11,3,0.3949
154,1104,11,4,0.3974
155,1105,11,5,0.4
156,1106,11,6,0.4026
157,1107,11,7,0.4051
158,1108,11,8,0.4077
159,1109,11,9,0.4103
160,1110,11,10,0.4128
161,1111,11,11,0.4154
162,1112,11,12,0.4179
163,1113,11,13,0.4205
164,1114,11,14,0.4231
165,1115,11,15,0.4256
166,1116,11,16,0.4282
167,1117,11,17,0.4308
168,1118,11,18,0.4333
169,1119,11,19,0.4359
170,1120,11,20,0.4385
171,1121,11,21,0.441
172,1122,11,22,0.4436
173,1123,11,23,0.4462
174,1124,11,24,0.4487
175,1125,11,25,0.4513
176,1126,11,26,0.4538
177,1127,11,27,0.4564
178,1128,11,28,0.459
179,1129,11,29,0.4615
180,1130,11,30,0.4641
181,1131,11,31,0.4667
182,1132,11,32,0.4692
183,1133,11,33,0.4718
184,1134,11,34,0.4744
185,1135,11,35,0.4769
186,1136,11,36,0.4795
187,1137,11,37,0.4821
188,1138,11,38,0.4846
189,1139,11,39,0.4872
190,1140,11,40,0.4897
191,1141,11,41,0.4923
192,1142,11,42,0.4949
193,1143,11,43,0.4974
194,1144,11,44,0.5
195,1145,11,45,0.5026
196,1146,11,46,0.5051
197,1147,11,47,0.5077
198,1148,11,48,0.5103
199,1149,11,49,0.5128
200,1150,11,50,0.5154
201,1151,11,51,0.5179
202,1152,11,52,0.5205
203,1153,11,53,0.5231
204,1154,11,54,0.5256
205,1155,11,55,0.5282
206,1156,11,56,0.5308
207,1157,11,57,0.5333
208,1158,11,58,0.5359
209,1159,11,59,0.5385
210,1200,12,0,0.541
211,1201,12,1,0.5436
212,1202,12,2,0.5462
213,1203,12,3,0.5487
214,1204,12,4,0.5513
215,1205,12,5,0.5538
216,1206,12,6,0.5564
217,1207,12,7,0.559
218,1208,12,8,0.5615
219,1209,12,9,0.5641
220,1210,12,10,0.5667
221,1211,12,11,0.5692
222,1212,12,12,0.5718
223,1213,12,13,0.5744
224,1214,12,14,0.5769
225,1215,12,15,0.5795
226,1216,12,16,0.5821
227,1217,12,17,0.5846
228,1218,12,18,0.5872
229,1219,12,19,0.5897
230,1220,12,20,0.5923
231,1221,12,21,0.5949
232,1222,12,22,0.5974
233,1223,12,23,0.6
234,1224,12,24,0.6026
235,1225,12,25,0.6051
236,1226,12,26,0.6077
237,1227,12,27,0.6103
238,1228,12,28,0.6128
239,1229,12,29,0.6154
240,1230,12,30,0.6179
241,1231,12,31,0.6205
242,1232,12,32,0.6231
243,1233,12,33,0.6256
244,1234,12,34,0.6282
245,1235,12,35,0.6308
246,1236,12,36,0.6333
247,1237,12,37,0.6359
248,1238,12,38,0.6385
249,1239,12,39,0.641
250,1240,12,40,0.6436
251,1241,12,41,0.6462
252,1242,12,42,0.6487
253,1243,12,43,0.6513
254,1244,12,44,0.6538
255,1245,12,45,0.6564
256,1246,12,46,0.659
257,1247,12,47,0.6615
258,1248,12,48,0.6641
