,time_hm,hour,minute,day_pct
0,830,8,30,0.0128
1,835,8,35,0.0256
2,840,8,40,0.0385
3,845,8,45,0.0513
4,850,8,50,0.0641
5,855,8,55,0.0769
6,900,9,0,0.0897
7,905,9,5,0.1026
8,910,9,10,0.1154
9,915,9,15,0.1282
10,920,9,20,0.141
11,925,9,25,0.1538
12,930,9,30,0.1667
13,935,9,35,0.1795
14,940,9,40,0.1923
15,945,9,45,0.2051
16,950,9,50,0.2179
17,955,9,55,0.2308
18,1000,10,0,0.2436
19,1005,10,5,0.2564
20,1010,10,10,0.2692
21,1015,10,15,0.2821
22,1020,10,20,0.2949
23,1025,10,25,0.3077
24,1030,10,30,0.3205
25,1035,10,35,0.3333
26,1040,10,40,0.3462
27,1045,10,45,0.359
28,1050,10,50,0.3718
29,1055,10,55,0.3846
30,1100,11,0,0.3974
31,1105,11,5,0.4103
32,1110,11,10,0.4231
33,1115,11,15,0.4359
34,1120,11,20,0.4487
35,1125,11,25,0.4615
36,1130,11,30,0.4744
37,1135,11,35,0.4872
38,1140,11,40,0.5
39,1145,11,45,0.5128
40,1150,11,50,0.5256
41,1155,11,55,0.5385
42,1200,12,0,0.5513
43,1205,12,5,0.5641
44,1210,12,10,0.5769
45,1215,12,15,0.5897
46,1220,12,20,0.6026
47,1225,12,25,0.6154
48,1230,12,30,0.6282
49,1235,12,35,0.641
50,1240,12,40,0.6538
51,1245,12,45,0.6667
52,1250,12,50,0.6795
53,1255,12,55,0.6923
54,1300,13,0,0.7051
55,1305,13,5,0.7179
56,1310,13,10,0.7308
57,1315,13,15,0.7436
58,1320,13,20,0.7564
59,1325,13,25,0.7692
60,1330,13,30,0.7821
61,1335,13,35,0.7949
62,1340,13,40,0.8077
63,1345,13,45,0.8205
64,1350,13,50,0.8333
65,1355,13,55,0.8462
66,1400,14,0,0.859
67,1405,14,5,0.8718
68,1410,14,10,0.8846
69,1415,14,15,0.8974
70,1420,14,20,0.9103
71,1425,14,25,0.9231
72,1430,14,30,0.9359
73,1435,14,35,0.9487
74,1440,14,40,0.9615
75,1445,14,45,0.9744
76,1450,14,50,0.9872
77,1455,14,55,1.0
78,1500,15,0,1.0
