,time_hm,agg,time
0,830,10T,08:30
1,840,10T,08:40
2,850,10T,08:50
3,900,10T,09:00
4,910,10T,09:10
5,920,10T,09:20
6,930,10T,09:30
7,940,10T,09:40
8,950,10T,09:50
9,1000,10T,10:00
10,1010,10T,10:10
11,1020,10T,10:20
12,1030,10T,10:30
13,1040,10T,10:40
14,1050,10T,10:50
15,1100,10T,11:00
16,1110,10T,11:10
17,1120,10T,11:20
18,1130,10T,11:30
19,1140,10T,11:40
20,1150,10T,11:50
21,1200,10T,12:00
22,1210,10T,12:10
23,1220,10T,12:20
24,1230,10T,12:30
25,1240,10T,12:40
26,1250,10T,12:50
27,1300,10T,13:00
28,1310,10T,13:10
29,1320,10T,13:20
30,1330,10T,13:30
31,1340,10T,13:40
32,1350,10T,13:50
33,1400,10T,14:00
34,1410,10T,14:10
35,1420,10T,14:20
36,1430,10T,14:30
37,1440,10T,14:40
38,1450,10T,14:50
