,time_hm,agg,time
0,830,5T,08:30
1,835,5T,08:35
2,840,5T,08:40
3,845,5T,08:45
4,850,5T,08:50
5,855,5T,08:55
6,900,5T,09:00
7,905,5T,09:05
8,910,5T,09:10
9,915,5T,09:15
10,920,5T,09:20
11,925,5T,09:25
12,930,5T,09:30
13,935,5T,09:35
14,940,5T,09:40
15,945,5T,09:45
16,950,5T,09:50
17,955,5T,09:55
18,1000,5T,10:00
19,1005,5T,10:05
20,1010,5T,10:10
21,1015,5T,10:15
22,1020,5T,10:20
23,1025,5T,10:25
24,1030,5T,10:30
25,1035,5T,10:35
26,1040,5T,10:40
27,1045,5T,10:45
28,1050,5T,10:50
29,1055,5T,10:55
30,1100,5T,11:00
31,1105,5T,11:05
32,1110,5T,11:10
33,1115,5T,11:15
34,1120,5T,11:20
35,1125,5T,11:25
36,1130,5T,11:30
37,1135,5T,11:35
38,1140,5T,11:40
39,1145,5T,11:45
40,1150,5T,11:50
41,1155,5T,11:55
42,1200,5T,12:00
43,1205,5T,12:05
44,1210,5T,12:10
45,1215,5T,12:15
46,1220,5T,12:20
47,1225,5T,12:25
48,1230,5T,12:30
49,1235,5T,12:35
50,1240,5T,12:40
51,1245,5T,12:45
52,1250,5T,12:50
53,1255,5T,12:55
54,1300,5T,13:00
55,1305,5T,13:05
56,1310,5T,13:10
57,1315,5T,13:15
58,1320,5T,13:20
59,1325,5T,13:25
60,1330,5T,13:30
61,1335,5T,13:35
62,1340,5T,13:40
63,1345,5T,13:45
64,1350,5T,13:50
65,1355,5T,13:55
66,1400,5T,14:00
67,1405,5T,14:05
68,1410,5T,14:10
69,1415,5T,14:15
70,1420,5T,14:20
71,1425,5T,14:25
72,1430,5T,14:30
73,1435,5T,14:35
74,1440,5T,14:40
75,1445,5T,14:45
76,1450,5T,14:50
77,1455,5T,14:55
