,time_hm,agg,time
0,832,4T,08:32
1,836,4T,08:36
2,840,4T,08:40
3,844,4T,08:44
4,848,4T,08:48
5,852,4T,08:52
6,856,4T,08:56
7,900,4T,09:00
8,904,4T,09:04
9,908,4T,09:08
10,912,4T,09:12
11,916,4T,09:16
12,920,4T,09:20
13,924,4T,09:24
14,928,4T,09:28
15,932,4T,09:32
16,936,4T,09:36
17,940,4T,09:40
18,944,4T,09:44
19,948,4T,09:48
20,952,4T,09:52
21,956,4T,09:56
22,1000,4T,10:00
23,1004,4T,10:04
24,1008,4T,10:08
25,1012,4T,10:12
26,1016,4T,10:16
27,1020,4T,10:20
28,1024,4T,10:24
29,1028,4T,10:28
30,1032,4T,10:32
31,1036,4T,10:36
32,1040,4T,10:40
33,1044,4T,10:44
34,1048,4T,10:48
35,1052,4T,10:52
36,1056,4T,10:56
37,1100,4T,11:00
38,1104,4T,11:04
39,1108,4T,11:08
40,1112,4T,11:12
41,1116,4T,11:16
42,1120,4T,11:20
43,1124,4T,11:24
44,1128,4T,11:28
45,1132,4T,11:32
46,1136,4T,11:36
47,1140,4T,11:40
48,1144,4T,11:44
49,1148,4T,11:48
50,1152,4T,11:52
51,1156,4T,11:56
52,1200,4T,12:00
53,1204,4T,12:04
54,1208,4T,12:08
55,1212,4T,12:12
56,1216,4T,12:16
57,1220,4T,12:20
58,1224,4T,12:24
59,1228,4T,12:28
60,1232,4T,12:32
61,1236,4T,12:36
62,1240,4T,12:40
63,1244,4T,12:44
64,1248,4T,12:48
65,1252,4T,12:52
66,1256,4T,12:56
67,1300,4T,13:00
68,1304,4T,13:04
69,1308,4T,13:08
70,1312,4T,13:12
71,1316,4T,13:16
72,1320,4T,13:20
73,1324,4T,13:24
74,1328,4T,13:28
75,1332,4T,13:32
76,1336,4T,13:36
77,1340,4T,13:40
78,1344,4T,13:44
79,1348,4T,13:48
80,1352,4T,13:52
81,1356,4T,13:56
82,1400,4T,14:00
83,1404,4T,14:04
84,1408,4T,14:08
85,1412,4T,14:12
86,1416,4T,14:16
87,1420,4T,14:20
88,1424,4T,14:24
89,1428,4T,14:28
90,1432,4T,14:32
91,1436,4T,14:36
92,1440,4T,14:40
93,1444,4T,14:44
94,1448,4T,14:48
95,1452,4T,14:52
96,1456,4T,14:56
